WaterUseSurveyCode|WaterUseSurveyDescription
0285609|FEW READY MIX CONCRETE COMPANY
0000060|NORTHEAST TEXAS MWD
0000070|TITUS COUNTY FWSD 1
0000161|NORTH TEXAS MWD-LAKE TEXOMA 02230
0000162|NORTH TEXAS MWD-COOPER RESERVOIR 03010
0000186|TRINITY RIVER AUTHORITY-LAKE LIVINGSTON 08290
0000260|CHOCOLATE BAYOU WATER COMPANY
0000368|BRAZOS RIVER AUTHORITY-LAKE GRANGER 12330
0000390|BI STONE MWD
0000454|LOWER COLORADO RIVER AUTHORITY-HIGHLAND LAKES SYSTEM
0000490|COLORADO RIVER MWD-E V SPENCE RESERVOIR 14040
0000550|MARATHON OIL COMPANY-GROUND WATER SYSTEM
0000640|BAYVIEW ID 11
0000730|AMERICAN SAND BLOWN
0000820|DELTA LAKE ID
0000830|VALLEY ACRES WD
0000880|GULF OIL CORPORATION-GROUND WATER SYSTEM
0000910|CONVEYS VACUUM & TRANSPORT
0000965|WEST JEFFERSON COUNTY WD
0000980|NELSON PUETT-STOCK TANK
0001081|MARINE FUELING SERVICE
0002010|BRAZOS RIVER AUTHORITY-RUN OF RIVER BRAZORIA COUNTY
0004001|A 1 PAPER TUBE & SALES
0004015|GOWIN INDUSTRIES
0005100|A ROCK MATERIALS
0005150|A & R FOODS INC
0005200|A & S BUILDING SYSTEMS INC
0005300|A & S MANUFACTORING INC
0005400|AAVID THERMAL TECHNOLOGIES
0005700|ABASCO INC
0005804|ABBOTT BUILDING COMPANY
0006500|ABILENE AG SERVICE & SUPPLY
0007387|ACECO
0008000|ACKERLY WSC
0008480|ACME BRICK COMPANY-BRIDGEPORT PLANT
0008700|ACME SAND COMPANY
0008880|A & D WATER SYSTEM
0009125|AD GRAPHICS COMMERCIAL PRINTING
0009250|ADM MILLING COMPANY
0009825|ADVANCED DELIVERY & CHEMICAL SYSTEM
0009840|AEROBOTIC INDUSTRIES
0009843|AEROCOTE CORPORATION
0010849|AIRCONDEX INC
0010900|AIR REDUCTION COMPANY
0011122|ALAMO CONCRETE PRODUCTS CO-EAGLE PASS SAND & GRAVEL PLANT
0011134|ALAMO CONCRETE PRODUCTS LTD-SOUTH TEXAS DIV MCCAMPBELL RD PLANT
0011135|ALAMO CONCRETE PRODUCTS CO-SOUTH TEXAS DIV FALFURRIAS PLANT
0011458|ALCOR INC
0011486|HYDRO TECH UTILITIES-GRACE RAYMOND ELEMENTARY ALDINE ISD
0011670|ALEDO MHP
0012910|ALLEE INC
0013245|ALLENS TRAILER COURT
0013280|ALLIED FEEDS-BRADY PLANT
0013420|ARCO OIL & GAS COMPANY-WELLMAN GAS PROCESSING PLANT
0013690|ALOHA GARDENS WATER SYSTEM
0015400|CITY OF ALTO
0015500|ALTOGA WSC
0015600|ALCOA WORLD ALUMINA LLC-ROCKDALE-SANDOW
0016800|CITY OF ALVIN
0016805|ALVIN ISD-E C MASON PRIMARY SCHOOL
0018400|SOUTHWEST COCA COLA BOTTLING COMPANY
0020510|AMERICAN FOAM RUBBER PRODUCTS
0020512|AMERICAN HEART ASSOCIATION
0020550|AMERICAN VALVE & HYDRANT
0020627|AMERICAN HAT COMPANY INC
0020750|TOTAL PETROCHEMICALS & REFINING USA INC PORT ARTHUR PLANT
0020775|AMERICAN PETROFINA PIPELINE COMPANY
0021020|AMERICAN LIMESTONE COMPANY
0021030|DAL-TILE SUNNYVALE MFG PLANT
0021059|AMERICAN MOLDS COMPANY
0021700|AMERICAN PLASTI PLATE COMPANY
0022810|AMERICAN SMELTING REFINING COMPANY-CLINTON DOCKS PLANT
0022825|AMERICAN STEEL BUILDING COMPANY INC
0024360|PHILLIPS PETROLEUM COMPANY-EAST CHAPA PLANT  EP H
0024600|MAJOR MIDSTREAM OPERATING PARTNERS LLC-EDGEWOOD PLANT
0024700|MAPLE GAS CORPORATION
0024880|AMOCO PRODUCITON COMPANY-SOUTH FULLERTON GASOLINE PLANT
0024910|AMPCO METAL INC
0024965|AMTROL INC
0026657|EMERSON AUTOMATION SOLUTION - STAFFORD PLANT
0026750|ANDERSON MILL ESTATES
0027600|ANDICE WATER WORKS
0029800|CITY OF ANSON
0030870|APAC TEXAS INC
0030900|APACHELAND MOBILE HOME SUBDIVISION
0031130|APEX PLASTIC & TOOLING INC-WYLIE PLANT
0031428|APPLIED MICRO CONTROLS
0031450|AQUASLIDE NORTH  DIVE CORPORATION
0031474|HIGHLANDS
0033490|K & B WATER WORKS
0034400|ARKANSAS LOUISIANA GAS COMPANY-JEFFERSON GASOLINE PLANT
0034950|ARLEDGE RIDGE WSC
0035200|HMW SUD-ARMADILLO WOODS SUBDIVISION
0035481|ARCTIC ICE
0035800|CITY OF ARP
0035831|ARROW MATERIALS INC
0036820|ASHLAND CHEMICAL COMPANY-UNSPECIFIED SYSTEM/FACILITY
0037435|ASSOCIATED MILK PRODUCERS INC-STEPHENVILLE PLANT
0037480|ASTRO AIR INC-JACKSONVILLE PLANT
0037940|ATCO PRODUCTS INC
0038600|ATHENS CANNING COMPANY
0038650|ATKINSON CANDY COMPANY
0039000|CITY OF ATLANTA
0040401|TEXAS MPP CORPORATION
0040560|A T AND S F RAILWAY
0040900|AUGAT INC-EL CAMPO FACILIT
0041020|CITY OF AUSTIN-CITY AUDITORIUM WELLS
0041106|AUSTIN COUNTY WSC 2
0041107|AUSTIN COUNTY WSC 4
0041118|COPPER TANK BREWERY
0042400|AVIATION INSTRUMENT MANUFACTURING CORPORATION
0044400|AZAR NUT COMPANY
0044500|CITY OF AZLE
0050230|MRS  BAIRDS BAKERIES-UNSPECIFIED SYSTEM/FACILITY
0050290|MRS  BAIRDS BAKERIES-UNSPECIFIED SYSTEM/FACILITY
0050313|WESTRONICS-KINGWOOD PLANT
0050390|BAKER OIL TOOLS-BAKER DIV NAVIGATION BLVD PLANT
0050720|CITY OF BALMORHEA
0050725|CAL TEX SPICE COMPANY INC
0051000|Quadvest, LP-BAMMEL FOREST UTILITY
0057077|TUMCO CONSULTANTS INC-BARTON CREEK WEST WSC
0057100|CROSS TIMBERS WSC
0057375|BASKIN ROBBINS
0057400|GRANDE INDUSTRIES LTD
0057690|BATES CONTAINER INC
0057700|BATEMAN WATER WORKS
0058255|BAUSCH & LOMB INC
0058275|BAW MANUFACTURING COMPANY
0058405|BAY CITY PLASTICS CORPORATION
0058450|BAYFIELD PUD
0058610|BAYLOR WSC
0059550|BAY RIDGE UD
0059600|BAYSHORE MUD
0060000|CITY OF BAYTOWN
0060133|BAYWOOD COUNTRY CLUB
0060143|EAST GATE ESTATES SYSTEM
0060147|ORANGE COUNTY WCID 1-HOUSEMAN ADDITION (PARK)
0060153|HICKORY HOLLOW WATER SYSTEM
0060190|BEACON ESTATES WSC
0060200|CITY OF BEAUMONT
0060331|Bear Springs Trails WSC-BEAR SPRINGS TRAILS SUBDIVISION
0060400|BEECH CREEK LUMBER COMPANY INC
0063243|MUNICIPAL DISTRICT SERVICES-BEECHNUT MUD
0064030|BELL HELICOPTER COMPANY-RICHLAND HILLS PLANT 3
0064054|BELL HELICOPTER COMPANY-WAREHOUSE PLANT J
0065600|CITY OF BELLMEAD
0068200|CENTEX READY MIX CONCRETE COMPANY-MOUND PLANT
0068300|BEMIS COMPANY
0069500|Gulf Utility Service-BENCHLEY OAKS SUBDIVISION
0069930|BENILITE CORP OF AMERICA
0070000|CITY OF BENJAMIN
0070050|BENNETT CLARK COMPANY
0070060|Utility Partners LLC-SAN BERNARD RIVER ESTATES
0070175|BLUEBONNET BOWL WATER
0071300|BEST BUY TORTILLA FACTORY INC
0072050|GEORGIA PACIFIC GYPSUM LLC
0072470|BEXAR COUNTY LACKLAND WD
0072500|SAN ANTONIO WATER SYSTEM-SAWS CASTLE HILLS
0072777|B H P WSC
0072850|CHANDLER WATER SYSTEM
0073599|BIG RED/7UP BOTTLING COMPANY-SAN ANTONIO TEXAS
0074475|AIR LIQUIDE AMERICA CORPORATION-BAYPORT PLANT  IWTC
0074506|BIG BEND RESORT & ADVENTURES
0074515|AIR LIQUIDE AMERICA CORPORATION-LA PORTE GAS PLANT
0074600|AIR LIQUIDE AMERICA CORPORTION-ODESSA NITROGEN PLANT
0074750|AIR LIQUIDE AMERICA CORPORATION-FREEPORT AIR SEPARATION PLANT
0075950|BIRT INC
0076150|BISTONE MUNICIPAL WSD
0076781|NO DATA AVAILABLE
0077250|KENT SPORTING GOODS INC
0077350|BLACKWELL PLASTICS INC
0078950|BLENTECH CORPORATION
0079215|BLOCKER CROSSROADS WSC
0081720|KINDER MORGAN-PASADENA
0081920|WRANGLER MENSWEAR DIVISION
0081923|VF JEANSWEAR INC-WRANGLER DIV  ROJAS PLANT  EL PASO
0082007|AQUA TEXAS INC-TURTLE CREEK
0082200|BLUE RIBBON PACKING COMPANY
0082205|BLUE RIBBON PRODUCTSINC
0082400|CITY OF BLUE RIDGE
0082490|BLUE RIDGE MHP
0083200|CITY OF BLUM
0083300|BOBBITT TRAILER PARK
0083350|TRI COUNTY POINT WATER SYSTEM 2
0083500|BODIN CONCRETE COMPANY INC
0083955|BAE SYSTEMS-IRVING DIVISION
0085343|TEXAS INDUSTRIES INC-UNSPECIFIED SYSTEM/FACILITY
0086110|BONANZA MARBLE COMPANY
0088800|BORGER CAMPS
0088860|BOSQUE VALLEY CLUB
0094200|BRANCHVILLE WSC
0094480|NATIONAL OIL WELL-VARCO BRANDT FACILITY
0094900|BRANNAN COMPANY
0094926|IBP/WESTERN PACKING COMPANY
0095260|MUNICIPAL OPERATIONS & CONSULTING INC-BRAZORIA COUNTY MUD 25
0095750|BRAZOS LIME COMPANY
0095770|BRAZOS COAL LTD
0095811|BRAZOS PIPE & STEEL INC
0097650|TRINIDAD/BENHAM & COMPANY INC
0097790|BRIAR FOREST SUBDIVISION
0097800|BRIAGROVE PARK UTILITY COMPANY
0097850|BRIAR MEADOWS
0097910|BRIARWOOD RETREAT CENTER
0097950|BRICE LESLEY WSC
0098010|BRIDGFORD FOODS CORPORATION-FROZEN RITE FOODS DIV
0098080|BUELL DOOR COMPANY
0098160|BRISTOL WSC
0098220|AQUA TEXAS INC-BRITTMORE UTILITIES
0098225|BRITTANY HILL WATER ASSOCOCIATION INC
0098325|BROOKHOLLOW ADDITION
0099400|BROWN OFFICE SYSTEMS INC
0100415|BROWNSVILLE NAVIGATION DISTRICT
0100500|BROWN WATER SYSTEM-UNSPECIFIED SYSTEM/FACILITY
0100700|SIDRAN INC
0102400|CITY OF BRYAN-MUNICIPAL SYSTEM
0103200|CITY OF BRYSON
0104280|BUCHANAN BOTTLING COMPANY
0104600|Utility Support Services-TOWN OF BUCKHOLTS
0104950|BUDDYS NATURAL CHICKEN
0105600|CITY OF BUDA
0106650|BULK PACK INC
0107650|BUMPER SERVICE INC
0109600|CITY OF BURKBURNETT
0109850|BURKHEAD MANUFACTURING  COMPANY
0112000|CITY OF BURLESON
0113000|BURLINGTON INDUSTRIES INC
0114350|BURRIS MILLS INC
0115100|CITY OF BURTON
0115330|BUTCHER ESTATES WATER WELL OWNERS
0116270|C & C MHP
0123400|CABOT CORPORATION
0125800|CABOT CORPORATION-SHAFER PLANT
0127027|CACTUS CANYON QUARRIES INC
0127575|PROFESSIONAL GENERAL MANAGEMENT SERVICES INC-CADE LAKES WSC
0127677|EQUISTAR CHEMICALS LP-CHOCOLATE BAYOU POLYMERS
0127678|EQUISTAR CHEMICALS LP-BAYPORT PLANT CHEMICALS
0128500|CALHOUN COUNTY WCID 2
0130600|CITY OF CAMDEN
0130698|JERSEY MEADOWS COUNTRY CLUB
0130699|CAMERON FORGE PRODUCTS
0130760|CAMP ALZAFAR TRAILER PARK
0130800|CAMPBELL PLACE WATER SYSTEM
0130870|CAMPBELL CONCRETE & MATERIALS-SPRING PLANT
0132290|CANNON TRAILER PARK
0133120|CANYON LAKE FOREST UTILITY INC-UNSPECIFIED SYSTEM/FACILITY
0133150|CAPITOL AGGREGATES INC-AUSTIN READY MIX PLANT
0133152|CAPITOL AGGREGATES INC-MONTGOMERY ROAD PLANT
0133500|CITY OF CARBON
0133610|B & B Utility Services-CANEY COVE WSC
0133650|CARGILL INC-FLOUR MILLING DIV
0133775|CARLINGSWITCH INC
0133850|CARLSON WATER SYSTEM
0135200|CARNATION COMPANY
0135285|CAROTEX INC
0135360|CARRIAGE HOUSE ESTATES
0135370|CARRIER AIR CONDITIONING COMPANY
0136825|CARTER WATER SUPPLY
0137450|CARVERDALE SUBDIVISION
0137900|CASEY ESTATES
0138300|CASH BROTHERS PACKING COMPANY INC
0138390|CAST RITE INC
0139425|CATES WATER SYSTEM
0140300|SWWC-CBS ENGINEERING BLDG
0140865|CEDAR COVE LANDING
0140875|CEDAR CREEK MUD
0143430|THE CELOTEX CORPORATION-SAN ANTONIO PLANT
0143450|CEMENT PRODUCTS COMPANY INC
0143470|INGRAM CONCRETE LLC-LUBBOCK NORTH PLANTS
0143560|CITY OF CENTER
0143815|CALHOUN PORT AUTHORITY POWER PLANT
0143830|BARNEY DAVIS LLC-BARNEY DAVIS ENERGY CENTER
0144800|AQUA TEXAS INC-CENTER POINT TAYLOR SYSTEM
0146180|GEORGIA-PACIFIC WOOD PRODUCTS LLC
0146440|SOUTHCROSS GATHERING LTD
0146450|NO DATA AVAILABLE
0146700|CHAPEL HILL WATER COMPANY INC
0147430|CHAPARRAL III
0147450|PROFESSIONAL GENERAL MANAGEMENT SERVICES INC-CHAPPELL HILL WSC
0147605|CHARLOTTE PIPE SOUTHWEST
0147620|VALERO REFINING TEXAS LP-HOUSTON REFINERY
0147750|ANCHOR GLASS CONTAINER-CORSICANA PLANT
0147890|CHEMAX CORPORATION
0148020|CHEMICAL ASSOCIATES INC
0148190|NORTH SHERMAN PLANT 234
0151900|CREST WATER COMPANY-CHISHOLM TRAIL RETREAT INC
0152920|CHRYSLER TECHNOLOGIES AIRBORN
0152945|AFC ENTERPRISES
0152955|TRECORA CHEMICAL INC
0153279|Inframark-CINCO MUD 2
0146200|PASADENA PAPER COMPANY LP
0146950|HILCO UNITED SERVICE H20-CHAMBERS MEADOW ESTATE
0147050|CHANDLER ACRES WATER ASSOCIATION
0147610|CHARRIOT MHP
0147640|BENDER CREEK APARTMENTS
0147850|SI ENVIRONMENTAL LLC-CHELFORD CITY MUD
0148012|WEATHERFORD AEROSPACE-COLUMBIA STREET FACILITY
0148018|NOVVI LLC-TEXAS-MOLECULAR
0148028|AQUA TEXAS INC-CHEROKEE POINT WATER COMPANY
0148043|CHEROKEE MHP
0148045|CHERRY AVE MHP
0148140|THE MAPLE GAS CORPORATION-KERMIT GAS PLANT
0148170|CHEVRON USA INC-SIVELLS BEND PLANT
0151700|CHIPPENHOOK CORPORATION
0151800|CHIRENO WSC
0151925|CREST WATER COMPANY-CHEYENNE HILLS
0151940|CHISHOLM TRAIL SUD
0152220|CRAIG TURNER WATER SYSTEM
0152300|ENGINE COMPONENTS INC
0152315|CYBERSHIELD OF TEXAS
0152950|CHURCH HILL WSC
0153225|SI ENVIRONMENTAL LLC-CIMARRON MUD
0153285|Inframark-CINCO MUD 7
0153287|Inframark-CINCO MUD 12
0153580|ONEOK HYDROCARBON SOUTHWEST LLC-MONT BELVIEU PLT (MB1)
0153800|TARGA MIDSTREAM SERVICES LLC-CHICO GAS PRO PLANT
0154200|OXY NGL INC-STONEWALL PLANT
0154500|CITIES SERVICE OIL & GAS CORPORATION-MAY PLANT
0155510|CITY MEAT STEAK COMPANY INC
0155740|CPS ENERGY-V H BRAUNIG - ARTHUR VON ROSENBURG POWER PLANT
0155745|CPS ENERGY-OW SOMMERS JT DEELY PLANT JK SPRUCE
0156540|CLARK FUEL PRODUCING COMPANY-SULLIVAN CITY GAS PLANT
0157000|CITY OF CLARKSVILLE
0158940|NAVISA INC
0158945|CLEBURNE MEAT PACKING INC
0158961|CLEAR CREEK WATER COMPANY INC-KINGS POINT
0159830|CLEARVIEW DRIVE WATER SYSTEM
0160200|CITY OF CLEBURNE
0160400|CLE TEX MATERIALS
0162610|CLW INC
0163455|COACHLIGHT MHP
0163477|TEEN CHALLENGE MINISTRY
0164130|COASTAL STATES GAS PRODUCTION COMPANY-CORPUS CHRISTI PLANT
0164183|COASTAL STATES GAS PRODUCTION  COMPANY-PETCO PLANT
0164193|COASTAL STATES GAS PRODUCTION  COMPANY-TUSCOLA PLANT
0164220|COCA COLA REFRESHMENTS USA INC-SHERMAN DIV
0164286|COCA COLA REFRESHMENTS USA INC-LONGVIEW PLANT
0164385|COCA-COLA SOUTHWEST BEVERAGES-FORT WORTH FOSSIL CREEK PLANT
0164400|COCA COLA REFRESHMENTS USA INC-UNSPECIFIED SYSTEM/FACILITY
0164655|HMW SUD-VILLAGE OF NEW KENTUCKY
0164658|HMW SUD-ALLENWOOD SUBDIVISION SYSTEM
0164666|HMW SUD-TOMBALL INDUSTRIAL PARK SYSTEM
0164670|COE UTILITIES INC-LAZYWOOD SYSTEM
0164672|HMW SUD-RED OAK TERRACE SYSTEM
0164860|COLEMAN COCA COLA BOTTLING COMPANY
0164900|COLEMAN COUNTY SUD
0165200|CITY OF COLEMAN
0168200|COLORADO INTERSTATE GAS COMPANY-UNSPECIFIED SYSTEM/FACILITY
0168300|COLORADO MATERIALS INC
0168403|COLORADO RIVER MWD-E V SPENCE RESERVOIR
0168410|COLORADO RIVER MWD-MARTIN COUNTY FIELD
0168600|COLORTREE INC
0173933|COMAL HILLS WSC
0174055|COMANCHE COUNTY WSC-SIPE SPRINGS WATER SYSTEM
0174450|COMANCHE HILLS UD
0175000|COMET RICE MILLS
0177927|JACINTO PARK SYSTEM
0177947|COUNTRY MEADOWS UTILITY COMPANY
0178270|AQUA TEXAS INC-ASHCREEK ADDITION
0178330|AQUA TEXAS INC-KILLOUGH ADDITION
0178335|AQUA TEXAS INC-LAGO LINDO ESTATES
0178375|FOX HOLLOW
0178390|ECO RESOURCES-877 SUNSET STRIP
0178450|MONARCH UTILITIES LP-MONTEGO BAY ESTATES
0178462|COMMUNITY WATER SERVICE INC-GRAND PRAIRIE SYSTEM
0179395|CONAGRA FRESH MEATS COMPANY
0180200|CITY OF CONROE
0180221|CONROE ISD-CREIGHTON INTERMEDIATE
0180224|CONROE ISD-MOOREHEAD JR HIGH SCHOOL
0180620|GLASTRON INC
0180650|PEPSI COLA BOTTLING COMPANY-UNSPECIFIED SYSTEM/FACILITY
0181320|CONSUMERS WATER INC-PEACH CREEK COLONY
0181400|CONSUMERS WATER INC-UNSPECIFIED SYSTEM/FACILITY
0181550|CONTINENTAL BAKING COMPANY
0181640|CONTINENTAL CAN COMPANY
0181810|CONTINENTAL METAL INC
0181870|CONTINENTAL OIL COMPANY-UNSPECIFIED SYSTEM/FACILITY
0183630|CONVEX COMPUTER CORPORATION
0183660|COOK BOOK BREAD
0183840|HILCO UNITED SERVICE H20-COONEY CAVERN LODGE
0183860|CITY OF COOPER
0183885|COPANO HEIGHTS WATER
0183900|COPANO COVE WATER COMPANY INC-COPANO COVE SUBDIVISION
0184405|WATER NECESSITIES INC-CORBETT WATER SYSTEM 1
0184710|CORDELL BRICK COMPANY
0184711|GUADALUPE BLANCO RIVER AUTHORITY-CORDILLERA RANCH
0184825|SI ENVIRONMENTAL LLC-CORNERSTONE MUD
0185400|CORP OF ENGINEERS
0186903|COTTON FLAT MHP
0186950|COTTONWOOD WSC
0187157|COMPLEX TOOLING & MOLDING  TEXAS
0188030|COUNTRY HILLS WATER SYSTEM
0188035|H2O WATER SYSTEMS INC
0188350|COW CREEK LAKESIDE LODGE WS
0188605|COZY WATERWORKS
0188801|CRACKER BARREL OF TEXAS
0188900|CRADDOCK TRAILER PARK
0189800|CITY OF CRANE
0191850|CREEDMOOR MAHA WSC
0192620|LINPAC CONTAINER & PALLET DIVISION
0192650|CRESTVIEW WATER COMPANY
0192850|CRIPPLE CREEK ADDITION WATER
0192900|CRIPPLE CREEK MUD
0193350|PRECISE FOOD INGREDIENTS INC
0194600|CITY OF CROSS PLAINS
0194850|CROSS ROADS ISD
0194880|SAN ANTONIO COCA COLA BOTTLING
0195560|CROWE GULDE CEMENT COMPANY-BLOCK & BRICK PLANT
0195607|UNDINE TEXAS LLC-BELL MANOR SUBDIVISION
0195613|UNDINE TEXAS LLC-SANDERS VIEW SYSTEM
0195800|PASADENA REFINING SYSTEM INC
0195960|GAYLORD CONTAINER CORPORATION-DALLAS PLANT
0196300|CRYSTAL CLEAR SUD
0196400|CRYSTAL DAIRY PRODUCTS
0197112|CRYSTAL SPRINGS WATER COMPANY-AUTUMN ACRES WATER SYSTEM
0197119|CRYSTAL SPRINGS WATER COMPANY-COUNTRY WEST SYSTEM
0197127|CRYSTAL SPRINGS WATER COMPANY-CHASEWOOD SUBDIVISION
0199250|DYNAMIC DETAILS INC
0199260|WNA CUPS ILLUSTRATED INC
0200305|CUSTOM CIRCUIT DESIGN INC
0200330|CUSTOM VESSEL COMPANY
0200470|HOUSTON COMMUNITY COLLEGE
0201270|AQUA PURE-CYPRESS HILL SUBDIVISION
0201900|EAGLE WATER MANAGEMENT INC-CYPRESS KLEIN UD
0201925|HMW SUD-CYPRESS PASS ESTATES
0195600|CITY OF CROWLEY
0195900|CROWN CORK & SEAL COMPANY INC-UNSPECIFIED SYSTEM/FACILITY
0195995|CIRCLE R RANCHETTES
0196250|CRYSTAL CITY DETENTION CENTER
0197114|CRYSTAL SPRINGS WATER COMPANY-THE OAKS
0197125|CRYSTAL SPRINGS WATER COMPANY-WINCHESTER PLACE SYSTEM
0197322|CFAN
0198600|CITY OF CUMBY
0200280|CUSTOM BUILDING PRODUCTS
0200325|CUSTOM SKIN COMPANY
0200471|C WILLOW WATER COMPANY
0200485|CYNDIE PARK UNIT 1 WATER COOP
0201240|EDP WATER-CYPRESS FOREST PUD
0201260|EAGLE WATER MANAGEMENT INC-CYPRESS HILL MUD 1
0201940|CYPRESS SPRINGS ON THE GUADALUPE
0205150|DAILEY PETROLEUM SERVICES CORPORATON
0205300|WATER NECESSITIES INC-DAIRYLAND HEIGHTS WATER SYSTEM
0205820|DALE ELECTRONICS INC
0206010|DALHART COCA SEVEN UP DR PEPPER
0208500|DAL TILE CORPORATION-DALLAS PLANT
0209200|DALLAS COUNTY BOYS HOME
0212400|DALLAS COUNTY RECORDS BUILDING
0214300|D & I WOOD PRODUCTS-CENTER HWY 96 PLANT
0214401|MRS  DALTONS BEST MAID PRODUCT
0215200|BRAZORIA COUNTY FWSD 1
0215300|DAN WAGGONER BUILDING
0215390|SUNBELT CHEMICALS CORPORATION
0215507|DANIEL RADIATOR CORPORATION
0215530|DANONE US LLC
0215535|DANNY BOY MHP
0215600|CITY OF DARROUZETT
0215750|DAWN PRODUCTSINC
0217260|DECKER FOOD COMPANY-DIV  ARMOUR & COMPANY
0217280|DE COTY COFFEE COMPANY
0217520|CANYON LAKE WATER SERVICE COMPANY-DEER RIVER
0218805|DE KALB SLAUGHTER HOUSE
0218830|DE LA GARZA SLAUGHTER HOUSE
0219600|CITY OF DE LEON
0219950|DELAWARE RAINBO LEASING CORPORATION
0219975|DELONG SPORTSWEAR INC-OLNEY DIVISION
0219977|DELONG SPORTSWEAR INC-SEYMOUR DIV
0221200|CITY OF DEL RIO
0221450|DELTA BRANDS INC
0222000|DENISON COTTON MILL COMPANY
0222175|DENMANS TWIN MOUNTAIN SUBDIVISION
0222802|DENTON COUNTY FWSD 1 A
0223755|SANCHEZ DESERT ROCK CO
0225330|DESSAU SUPPLY COMPANY INC
0225400|CITY OF DETROIT
0226100|DEVILLA MHP
0227580|DIAPER JEANS INC
0229150|DIGITAL TECHNIQUES INC
0231000|DISTILLATE PRODUCTION CORPORATION
0231030|DISTRIBUTION INTL
0231080|DIVERSITECH CORPORATION
0231171|DPC INDUSTRIES INC-SWEETWATER PLANT
0231430|DOBBINS PLANTERSVILLE WSC 2
0232000|DODGE OAKHURST WSC
0232575|AQUA TEXAS INC-DOGWOOD HILLS NORTH
0232802|GONZALES MANUFACTURING COMPANY
0233200|CITY OF DORCHESTER
0234155|DOS REPUBLICAS COAL PARTNERS
0234280|DOUBLE M LASER PRODUCTS INC
0237200|DOW CHEMICAL COMPANY-FREEPORT-TEXAS OPERATIONS
0237250|MMIA-DOWDELL PUD
0237363|Gulf Utility Service-LAKEVIEW MARSHALL OAK SOMERVILLE
0237368|Gulf Utility Service-SOMERVILLE PLACE
0237370|D & S WATER COMPANY-OAK FOREST/LAKEWAY MANOR
0237415|DRACO SPRING MANUFACTURING COMPANY
0237650|GEOSPACE TECHNOLOGIES
0237670|ASHLAND CHEMICAL COMPANY-DREW DIVISION
0237675|DRILCO INDUSTRIAL INC
0237680|Inframark-SMITH INTERNATIONAL INC
0238100|DRISCOLL HOTEL
0238760|HALLIBURTON ENERGY SERVICES-DR PEPPER BOTTLING COMPANY
0239919|DTK COMPUTER OF TEXAS
0244000|FREEPORT MCMORAN SULPHUR INC
0244200|CLIFF DEVELOPMENT LTD
0244210|DUVAL CORPORATION
0244215|D & W PACKING COMPANY
0244247|DXI INDUSTRIES INC
0244253|DYNEGY MIDSTREAM SERVICES LP-UNSPECIFIED SYSTEM/FACILITY
0244256|E & A MATERIALS INC
0244403|EAGLE CREEK TRAILER PARK
0244678|AQUA TEXAS INC-EAGLES BLUFF WATER COMPANY
0247000|CITY OF EAGLE LAKE
0247022|EAGLE PETROLEUM CORPORATION-HOLLIDAY PLANT 2
0247050|CITY OF EAGLE PASS WATER WORKS SYSTEM
0248605|EAST CEDAR CREEK FWSD-SOUTHWOOD SHORES
0248615|EAST CENTRAL WSC-GENERAL WATER DISTRIBUTION SYSTEM (EAST CENTRAL WSC)
0248750|EAST FORK SUD
0248775|EAST GARRETT WSC
0249300|EAST MEDINA COUNTY SUD-UNIT 1
0249400|QUALEX INC
0249425|EAST MONTGOMERY COUNTY MUD 1
0249500|EAST NEWTON WSC
0249953|EAST RIO HONDO WSC
0250848|ECTOR COUNTY UD
0250900|EBENEZER WSC
0250990|BRD-IGP INC
0252600|CITY OF EDDY WELL 1
0253920|CITY OF EDGEWOOD
0254100|CITY OF EDMONSON
0254304|E F QUALITY FOOD PROCESSING COMPANY
0254350|EL BRAZOS APARTMENTS
0255000|CITY OF EL CAMPO
0255064|AC HUMKO RICE SPECIALTIES
0255066|E J S INDUSTRIES INC
0255400|ELDERVILLE WSC
0255975|ELECTROSOURCE INC
0256625|ELECTRO COATINGS INC
0256690|ELFAR CORPORATION
0257800|BAYSHORE WATER SERVICES INC
0257900|ELJER U S BRASS
0259830|ELMS MHP
0261300|EL PASO ELECTRIC COMPANY-RIO GRANDE STATION
0262700|EL PASO NATURAL GAS COMPANY-KEYSTONE FIELD PLANT
0264300|EL PASO NATURAL GAS COMPANY-STATION 1
0266225|KNAPP SHERRILL COMPANY-ELSA PLANT
0266300|ELYSIAN FIELDS WSC
0266580|E M C COMPANY
0266600|COMMUNITY WATER COMPANY-CITY OF EMHOUSE
0267350|ENGEL UTILITY COMPANY
0267353|ENCHANTED HARBOR WATER SYSTEM
0268400|ENHANCED GLASS CORPORATION
0268601|ENSERCH EXPLORATION INC-DECATUR GAS PLANT
0268603|TXU PROCESSING INC
0268620|AIR SYSTEM COMPONENTS-UNSPECIFIED SYSTEM/FACILITY
0268650|EOLA WSC
0268955|ESCOBAR DAIRY COMPANY
0269005|ESPINAZO DEL DIABLO WATER SUPPLY
0269050|ESSEX ENVIRONMENTAL INDUSTRIES INC
0270422|GECOS INC
0270426|EUBANK R/M CONCRETE COMPANY INC-PLANT 1 WAXAHACHIE
0272600|EVERS DAIRY
0274803|OHMSTEDE LTD-BEAUMONT PLANT
0274905|ARGOS USA LLC-ARLINGTON PLANT 117
0275000|TEXAS PETROLEUM INVESTMENT COMPANY-ANAHUAC COMPRESSOR STATION
